gene name,description,gene id,protein id,GO general category
TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:11571],ENSG00000120948,ENSP00000404666,"GO:0000166,GO:0003676,GO:0003677,GO:0005634,GO:0005515,GO:0003723,GO:0003700,GO:0003690,GO:0042802,GO:0003730,GO:0006366,GO:0006397,GO:0008380,GO:0008219,GO:0043922,GO:0070935"
TRIT1,tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:20286],ENSG00000043514,ENSP00000361905,"GO:0005524,GO:0016740,GO:0004161,GO:0008033,GO:0009058,GO:0008270,GO:0003676,GO:0005739,GO:0046872,GO:0052381"
MRPL36,mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:14490],ENSG00000171421,ENSP00000372093,"GO:0005739,GO:0003735,GO:0005622,GO:0005840,GO:0005762,GO:0006412"
KPNB1,karyopherin (importin) beta 1 [Source:HGNC Symbol;Acc:6400],ENSG00000108424,ENSP00000290158,"GO:0005515,GO:0008565,GO:0005488,GO:0005737,GO:0031965,GO:0043234,GO:0006913,GO:0006610,GO:0008270,GO:0019904,GO:0008536,GO:0008139,GO:0005829,GO:0005654,GO:0005643,GO:0006606,GO:0006915,GO:0044281,GO:0016032,GO:0006886,GO:0019221,GO:0006309,GO:0006607,GO:0000060,GO:0019048,GO:0019058,GO:0006921,GO:0075733"
ZNFX1,"zinc finger, NFX1-type containing 1 [Source:HGNC Symbol;Acc:29271]",ENSG00000124201,ENSP00000379412,"GO:0005488,GO:0003700,GO:0008270,GO:0046872,GO:0005634,GO:0006355,GO:0005524,GO:0003677,GO:0016787"
SNRNP27,small nuclear ribonucleoprotein 27kDa (U4/U6.U5) [Source:HGNC Symbol;Acc:30240],ENSG00000124380,ENSP00000244227,"GO:0005515,GO:0003676,GO:0005634,GO:0006397,GO:0008380"
RBMS2,"RNA binding motif, single stranded interacting protein 2 [Source:HGNC Symbol;Acc:9909]",ENSG00000076067,ENSP00000262031,"GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0006396"
RBMS1,"RNA binding motif, single stranded interacting protein 1 [Source:HGNC Symbol;Acc:9907]",ENSG00000153250,ENSP00000387280,"GO:0000166,GO:0003723,GO:0003676,GO:0005515,GO:0003690,GO:0003697,GO:0005634,GO:0006260,GO:0006396"
RBMS3,"RNA binding motif, single stranded interacting protein 3 [Source:HGNC Symbol;Acc:13427]",ENSG00000144642,ENSP00000391934,"GO:0000166,GO:0003723,GO:0003676,GO:0005737,GO:0043231"
LARS2,"leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:17095]",ENSG00000011376,ENSP00000412893,"GO:0000166,GO:0005524,GO:0004812,GO:0004823,GO:0005739,GO:0006418,GO:0006429,GO:0002161,GO:0005759,GO:0010467"
KIAA0020,KIAA0020 [Source:HGNC Symbol;Acc:29676],ENSG00000080608,ENSP00000380982,"GO:0003723,GO:0005488,GO:0005783,GO:0005730"
RBFOX1,"RNA binding protein, fox-1 homolog (C. elegans) 1 [Source:HGNC Symbol;Acc:18222]",ENSG00000078328,ENSP00000344196,"GO:0000166,GO:0003723,GO:0003676,GO:0005634,GO:0006397,GO:0008380,GO:0043484,GO:0005515,GO:0008022,GO:0005737,GO:0005802,GO:0050885,GO:0050658"
RBFOX2,"RNA binding protein, fox-1 homolog (C. elegans) 2 [Source:HGNC Symbol;Acc:9906]",ENSG00000100320,ENSP00000352328,"GO:0000166,GO:0003676,GO:0005634,GO:0005737,GO:0005515,GO:0003723,GO:0003714,GO:0003729,GO:0008134,GO:0000381,GO:0045892,GO:0016070,GO:0042127,GO:0006397,GO:0008380,GO:0050885,GO:0043484,GO:0048813,GO:0021942,GO:0030520,GO:0010724"
RBFOX3,"RNA binding protein, fox-1 homolog (C. elegans) 3 [Source:HGNC Symbol;Acc:27097]",ENSG00000267483,ENSP00000467132,"GO:0000166,GO:0003723,GO:0003676,GO:0003677,GO:0005634,GO:0005737,GO:0043025,GO:0006397,GO:0008380,GO:0000381,GO:0043484,GO:0005515,GO:0005622,GO:0043204"
CWF19L1,"CWF19-like 1, cell cycle control (S. pombe) [Source:HGNC Symbol;Acc:25613]",ENSG00000095485,ENSP00000326411,GO:0003824
CWF19L2,"CWF19-like 2, cell cycle control (S. pombe) [Source:HGNC Symbol;Acc:26508]",ENSG00000152404,ENSP00000282251,GO:0003824
ZC3H15,zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:29528],ENSG00000065548,ENSP00000338788,"GO:0005634,GO:0005737,GO:0005515,GO:0046872,GO:0005730,GO:0019221"
LONP1,"lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:9479] [Type: protein coding Ensembl/Havana merge]",ENSG00000196365,ENSP00000353826,"GO:0005524,GO:0004252,GO:0004176,GO:0030163,GO:0016887,GO:0009378,GO:0006281,GO:0006310,GO:0006508,GO:0000166,GO:0043565,GO:0017111,GO:0005759,GO:0006515,GO:0034599,GO:0051131,GO:0070407,GO:0090296,GO:0003697,GO:0070361,GO:0005737,GO:0005739,GO:0001666,GO:0007568,GO:0009725,GO:0007005,GO:0010044,GO:0005515,GO:0003727,GO:0043531,GO:0051880,GO:0070182,GO:0070362,GO:0042645,GO:0043623,GO:0006200,GO:0051260,GO:0051603,GO:0000002,GO:0032042"
DBR1,debranching enzyme homolog 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:15594],ENSG00000138231,ENSP00000260803,"GO:0016788,GO:0006397,GO:0000398,GO:0016787,GO:0046872,GO:0008419,GO:0005634,GO:0000375"
RRP15,ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24255],ENSG00000067533,ENSP00000355899,"GO:0005634,GO:0005739,GO:0005730"
L1TD1,INE-1 type transposase domain containing 1 [Source:HGNC Symbol;Acc:25595],ENSG00000240563,ENSP00000419901,"GO:0003700,GO:0004871,GO:0006355,GO:0007165"
NMD3,NMD3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24250],ENSG00000169251,ENSP00000418908,"GO:0005634,GO:0005737,GO:0005730,GO:0005654,GO:0015031"
SRSF10,"cDNA FLJ30749 fis, clone FEBRA2000402, highly similar to FUS-interacting serine-arginine-rich protein 1; cDNA FLJ43846 fis, clone TESTI4006393, highly similar to FUS-interacting serine-arginine-rich protein 1  [Source:UniProtKB/TrEMBL;Acc:B3KNY6]",ENSG00000215699,ENSP00000363573,"GO:0000166,GO:0003676,GO:0003723,GO:0005515,GO:0051082,GO:0050733,GO:0005634,GO:0005737,GO:0005654,GO:0016607,GO:0006355,GO:0000398,GO:0006376,GO:0006406,GO:0000244,GO:0048025,GO:0000375,GO:0016482"
SRSF12,serine/arginine-rich splicing factor 12 [Source:HGNC Symbol;Acc:21220],ENSG00000154548,ENSP00000414302,"GO:0000166,GO:0003723,GO:0003676,GO:0051082,GO:0050733,GO:0005654,GO:0000381,GO:0000244,GO:0048025,GO:0000395,GO:0016482"
SRSF2,serine/arginine-rich splicing factor 2 [Source:HGNC Symbol;Acc:10783],ENSG00000161547,ENSP00000463317,"GO:0000166,GO:0003676,GO:0003723,GO:0003714,GO:0005515,GO:0005634,GO:0005654,GO:0016607,GO:0006366,GO:0010467,GO:0006397,GO:0008380,GO:0000398,GO:0006406,GO:0031124,GO:0006369"
SRSF8,serine/arginine-rich splicing factor 8 [Source:HGNC Symbol;Acc:16988],ENSG00000180771,ensembl pseudogene- ncbi protein coding gene,.
RSL1D1,ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:24534],ENSG00000171490,ENSP00000460343,"GO:0003723,GO:0005730,GO:0005515,GO:0032880"
DAP3,death associated protein 3 [Source:HGNC Symbol;Acc:2673],ENSG00000132676,ENSP00000341692,"GO:0005515,GO:0005634,GO:0005739,GO:0005730,GO:0015935,GO:0005761,GO:0008637,GO:0097190,GO:0005759"
NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:26274]",ENSG00000137513,ENSP00000432240,"GO:0000166,GO:0005524,GO:0003676,GO:0004812,GO:0004816,GO:0005737,GO:0006418,GO:0006421,GO:0005739,GO:0005759,GO:0010467"
RBM25,RNA binding motif protein 25 [Source:HGNC Symbol;Acc:23244],ENSG00000119707,ENSP00000431150,"GO:0000166,GO:0005515,GO:0003676,GO:0003729,GO:0005634,GO:0005737,GO:0005681,GO:0016607,GO:0042981,GO:0006397,GO:0008380,GO:0000381"
POLR2E,"polymerase (RNA) II (DNA directed) polypeptide E, 25kDa [Source:HGNC Symbol;Acc:9192]",ENSG00000099817,ENSP00000215587,"GO:0003677,GO:0003899,GO:0005634,GO:0006351,GO:0005515,GO:0001055,GO:0001056,GO:0001054,GO:0005829,GO:0005654,GO:0005665,GO:0005736,GO:0005666,GO:0045087,GO:0006366,GO:0006289,GO:0006281,GO:0016032,GO:0010467,GO:0006383,GO:0008380,GO:0000398,GO:0006367,GO:0006368,GO:0006360,GO:0006370,GO:0032481,GO:0006283,GO:0019048,GO:0050434,GO:0006385,GO:0006386"
TOE1,"target of EGR1, member 1 (nuclear) [Source:HGNC Symbol;Acc:15954]",ENSG00000132773,ENSP00000361162,"GO:0003676,GO:0046872,GO:0005634,GO:0005515,GO:0005730,GO:0016607"
TSFM,"Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:12367]",ENSG00000123297,ENSP00000313877,"GO:0003746,GO:0005634,GO:0005739,GO:0005622,GO:0006414,GO:0005515,GO:0032784"
TPR,"translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:12017]",ENSG00000047410,ENSP00000356448,"GO:0005515,GO:0000166,GO:0042803,GO:0005524,GO:0003682,GO:0031072,GO:0003729,GO:0004828,GO:0015631,GO:0051019,GO:0005487,GO:0070840,GO:0005635,GO:0031965,GO:0044615,GO:0034399,GO:0042405,GO:0005634,GO:0005737,GO:0019898,GO:0005654,GO:0005643,GO:0000776,GO:0072686,GO:0005868,GO:0035457,GO:0046827,GO:0000122,GO:0055085,GO:0007067,GO:0044281,GO:0000278,GO:0016032,GO:0005975,GO:0006606,GO:0019221,GO:0010827,GO:0007094,GO:0006434,GO:0015758,GO:0034605,GO:0042307,GO:0045947,GO:0007077,GO:0008645,GO:0000189,GO:0006405,GO:0006404,GO:0006999,GO:0010965,GO:0031453,GO:0031990,GO:0046832,GO:0070849,GO:0090267,GO:0090316,GO:1901673"
STAU1,"staufen, RNA binding protein, homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:11370]",ENSG00000124214,ENSP00000360893,"GO:0005515,GO:0003725,GO:0005737,GO:0005875,GO:0010494,GO:0005791,GO:0008298,GO:0003723,GO:0008157,GO:0030529,GO:0043005,GO:0043025"
STAU2,"staufen, RNA binding protein, homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:11371]",ENSG00000040341,ENSP00000429973,"GO:0005515,GO:0003725,GO:0005783,GO:0005730,GO:0005874,GO:0006810"
TRMT1L,tRNA methyltransferase 1 homolog (S. cerevisiae)-like [Source:HGNC Symbol;Acc:16782],ENSG00000121486,ENSP00000356476,"GO:0003723,GO:0046872,GO:0016740,GO:0000049,GO:0004809,GO:0008033,GO:0008344,GO:0030534"
METTL3,methyltransferase like 3 [Source:HGNC Symbol;Acc:17563],ENSG00000165819,ENSP00000298717,"GO:0008168,GO:0016422,GO:0005634,GO:0003723,GO:0005654,GO:0016607,GO:0010467,GO:0006397,GO:0007623,GO:0001510,GO:0006139,GO:0080009"
REXO2,"REX2, RNA exonuclease 2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17851]",ENSG00000076043,ENSP00000442162,"GO:0003676,GO:0004527,GO:0005886,GO:0005739,GO:0005730,GO:0008408,GO:0005634,GO:0006139,GO:0009117"
MRPL52,mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:16655],ENSG00000172590,ENSP00000347277,"GO:0003735,GO:0005762,GO:0006412,GO:0005840,GO:0005739"
WDR3,WD repeat domain 3 [Source:HGNC Symbol;Acc:12755],ENSG00000065183,ENSP00000308179,"GO:0005515,GO:0005634,GO:0005730,GO:0031965"
CNOT11,"CCR4-NOT transcription complex, subunit 11 [Source:HGNC Symbol;Acc:25217] [Type: protein coding Ensembl/Havana merge]",ENSG00000158435,ENSP00000289382,"GO:0005515,GO:0005634,GO:0005829,GO:0030014,GO:0006351,GO:0008283,GO:0006355,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0006417,GO:0031047"
YTHDC1,YTH domain-containing protein 1  [Source:UniProtKB/TrEMBL;Acc:J3KS01],ENSG00000257413,ENSP00000447653,"GO:0005515,GO:0005634,GO:0006397,GO:0008380"
METTL2A,methyltransferase like 2A [Source:HGNC Symbol;Acc:25755],ENSG00000087995,ENSP00000309610,"GO:0008168,GO:0016427,GO:0008152,GO:0030488"
METTL2B,methyltransferase like 2B [Source:HGNC Symbol;Acc:18272],ENSG00000165055,ENSP00000262432,"GO:0008168,GO:0008152,GO:0016427,GO:0030488"
ZNF326,zinc finger protein 326 [Source:HGNC Symbol;Acc:14104],ENSG00000162664,ENSP00000403470,"GO:0005515,GO:0008270,GO:0003677,GO:0000993,GO:0005634,GO:0005681,GO:0016363,GO:0044609,GO:0006351,GO:0045893,GO:0006397,GO:0008380,GO:0032784"
AKAP8,A kinase (PRKA) anchor protein 8 [Source:HGNC Symbol;Acc:378],ENSG00000105127,ENSP00000269701,"GO:0005515,GO:0008270,GO:0003677,GO:0003690,GO:0034237,GO:0005634,GO:0016363,GO:0005739,GO:0005794,GO:0000793,GO:0001939,GO:0007067,GO:0007165,GO:0007076"
AKAP8L,A kinase (PRKA) anchor protein 8-like [Source:HGNC Symbol;Acc:29857],ENSG00000011243,ENSP00000470952,"GO:0003677,GO:0005634,GO:0005515,GO:0046872,GO:0017151,GO:0005737,GO:0016363"
RPS14,ribosomal protein S14 [Source:HGNC Symbol;Acc:10387],ENSG00000164587,ENSP00000428536,"GO:0003723,GO:0003735,GO:0045182,GO:0048027,GO:0005739,GO:0005829,GO:0005730,GO:0022627,GO:0005840,GO:0000122,GO:0000028,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006417,GO:0030218,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0030490"
ELAVL1,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R) [Source:HGNC Symbol;Acc:3312]",ENSG00000066044,ENSP00000472197,"GO:0000166,GO:0003723,GO:0005515,GO:0003676,GO:0003725,GO:0019901,GO:0003729,GO:0017091,GO:0035925,GO:0005634,GO:0005737,GO:0005829,GO:0005654,GO:0007275,GO:0010467,GO:0016070,GO:0016071,GO:0006417,GO:0045727,GO:0048255,GO:0070935"
ELAVL2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) [Source:HGNC Symbol;Acc:3313]",ENSG00000107105,ENSP00000369460,"GO:0000166,GO:0003723,GO:0005515,GO:0003676,GO:0003730,GO:0006355"
ELAVL3,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C) [Source:HGNC Symbol;Acc:3314]",ENSG00000196361,ENSP00000390878,"GO:0000166,GO:0003676,GO:0003723,GO:0017091,GO:0030154,GO:0007399"
ELAVL4,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 [Source:HGNC Symbol;Acc:3315]",ENSG00000162374,ENSP00000399939,"GO:0000166,GO:0003723,GO:0003676,GO:0003730,GO:0017091,GO:0006397,GO:0006396"
PNN,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:9162]",ENSG00000100941,ENSP00000216832,"GO:0005198,GO:0003677,GO:0005634,GO:0005886,GO:0005737,GO:0005882,GO:0005911,GO:0016607,GO:0030057,GO:0035145,GO:0071013,GO:0006351,GO:0006355,GO:0007155,GO:0000398"
DDX41,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 [Source:HGNC Symbol;Acc:18674],ENSG00000183258,ENSP00000330349,"GO:0005634,GO:0005524,GO:0003676,GO:0008026,GO:0005515,GO:0003723,GO:0008270,GO:0003677,GO:0004386,GO:0005829,GO:0005783,GO:0071013,GO:0045944,GO:0045087,GO:0006915,GO:0007275,GO:0000398,GO:0006396,GO:0035458,GO:0051607,GO:0032481,GO:0032479"
TNPO2,transportin 2 [Source:HGNC Symbol;Acc:19998],ENSG00000105576,ENSP00000397379,"GO:0005488,GO:0005515,GO:0008536,GO:0008139,GO:0005634,GO:0005737,GO:0006886"
TNPO1,transportin 1 [Source:HGNC Symbol;Acc:6401],ENSG00000083312,ENSP00000336712,"GO:0005488,GO:0008536,GO:0005634,GO:0006886,GO:0005515,GO:0008139,GO:0005737,GO:0005829,GO:0010467,GO:0016070,GO:0016071,GO:0000060,GO:0019048"
PUSL1,pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:26914],ENSG00000169972,ENSP00000368318,"GO:0003723,GO:0009982,GO:0008033,GO:0001522,GO:0009451"
RBM43,RNA binding motif protein 43 [Source:HGNC Symbol;Acc:24790],ENSG00000184898,ENSP00000331211,"GO:0000166,GO:0003723,GO:0003676"
ZGPAT,"zinc finger, CCCH-type with G patch domain [Source:HGNC Symbol;Acc:15948]",ENSG00000197114,ENSP00000332013,"GO:0003700,GO:0005515,GO:0003676,GO:0046872,GO:0043565,GO:0005634,GO:0006351,GO:0045892,GO:0007175"
SCAF11,SR-related CTD-associated factor 11 [Source:HGNC Symbol;Acc:10784],ENSG00000139218,ENSP00000358374,"GO:0005515,GO:0008270,GO:0005634,GO:0006397,GO:0008380,GO:0000245,GO:0000375,GO:0046872"
USP39,ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:20071],ENSG00000168883,ENSP00000312981,"GO:0008270,GO:0004221,GO:0005681,GO:0006511,GO:0051301,GO:0007049,GO:0006397,GO:0008380,GO:0000245"
RPL38,ribosomal protein L38 [Source:HGNC Symbol;Acc:10349],ENSG00000172809,ENSP00000462580,"GO:0003723,GO:0003735,GO:0005829,GO:0005622,GO:0005840,GO:0022625,GO:0033291,GO:0001501,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006417,GO:0007605,GO:0042474,GO:0001503,GO:0044267,GO:0006614,GO:0006414,GO:0034463,GO:0048318,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
NARS,asparaginyl-tRNA synthetase [Source:HGNC Symbol;Acc:7643],ENSG00000134440,ENSP00000256854,"GO:0000166,GO:0005524,GO:0004812,GO:0004816,GO:0005737,GO:0006418,GO:0006421,GO:0003676,GO:0005739,GO:0005829,GO:0010467"
RPS16,ribosomal protein S16 [Source:HGNC Symbol;Acc:10396],ENSG00000105193,ENSP00000251453,"GO:0003735,GO:0005840,GO:0006412,GO:0003723,GO:0022627,GO:0005829,GO:0015935,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0042274"
CLASRP,CLK4-associating serine/arginine rich protein [Source:HGNC Symbol;Acc:17731],ENSG00000104859,ENSP00000465562,"GO:0005634,GO:0006397,GO:0008380"
RPS9,ribosomal protein S9 [Source:HGNC Symbol;Acc:10442],ENSG00000170889,ENSP00000302896,"GO:0003723,GO:0005515,GO:0003735,GO:0019843,GO:0045182,GO:0005737,GO:0005829,GO:0005622,GO:0005730,GO:0022627,GO:0005840,GO:0030529,GO:0015935,GO:0006412,GO:0008284,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006417,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083"
TOP3B,topoisomerase (DNA) III beta [Source:HGNC Symbol;Acc:11993],ENSG00000100038,ENSP00000349705,"GO:0003677,GO:0003917,GO:0003916,GO:0005694,GO:0006265,GO:0000793,GO:0007059,GO:0005524,GO:0005634"
NCBP2L,nuclear cap binding protein subunit 2-like [Source:HGNC Symbol;Acc:31795],ENSG00000170935,ENSP00000361454,"GO:0000166,GO:0003676,GO:0000339,GO:0005846,GO:0045292"
NCBP2,"nuclear cap binding protein subunit 2, 20kDa [Source:HGNC Symbol;Acc:7659]",ENSG00000114503,ENSP00000389315,"GO:0000166,GO:0003676,GO:0000339,GO:0005846,GO:0045292,GO:0005515,GO:0000340,GO:0005634,GO:0005737,GO:0005829,GO:0005654,GO:0005845,GO:0006366,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0031047,GO:0008380,GO:0000398,GO:0006446,GO:0006368,GO:0006370,GO:0006406,GO:0031124,GO:0000387,GO:0050434,GO:0034660,GO:0000184,GO:0006369,GO:0008334,GO:0006408,GO:0046833"
SMG9,"smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:HGNC Symbol;Acc:25763]",ENSG00000105771,ENSP00000270066,"GO:0005515,GO:0042802,GO:0005829,GO:0005622,GO:0010467,GO:0016070,GO:0016071,GO:0000184"
